order,project,file,original_px,optimized_px,quality,size_kb,source_url
1,collective-bikes-2026,public/images/previews/collective-bikes-2026-work-preview.webp,4492x5615,928x1160,63,148.4,https://framerusercontent.com/images/ix8Zhp6fntmqwjsIHwrZjVHng.jpg?scale-down-to=2048&width=4492&height=5615
2,rebekka-ruetz-aw26,public/images/previews/rebekka-ruetz-aw26-work-preview.webp,1500x2000,1050x1400,88,49.7,https://framerusercontent.com/images/4ymrky5vVXuBpTSTc1GIteO6FI.jpg?width=1500&height=2000
3,stays-essentials-aw26,public/images/previews/stays-essentials-aw26-work-preview.webp,1500x2000,1050x1400,88,96.0,https://framerusercontent.com/images/7wt7vDMNcCWmqFdEobeRfyWjCn4.jpg?width=1500&height=2000
4,seeds-management-2025,public/images/previews/seeds-management-2025-work-preview.webp,1500x2000,1050x1400,88,99.2,https://framerusercontent.com/images/MCyL1SaOvf241SjclIcQnWHDW8.jpg?width=1500&height=2000
5,two-management-ny-2025,public/images/previews/two-management-ny-2025-work-preview.webp,1500x2000,1050x1400,64,148.0,https://framerusercontent.com/images/PTaXq0ejDodpuEdEiUA0yuOah8.jpg?width=1500&height=2000
6,hengdi-wang-ss26,public/images/previews/hengdi-wang-ss26-work-preview.webp,1500x2000,1050x1400,79,143.9,https://framerusercontent.com/images/0Zw029vJTUqjBrjb3rnvrBQXnmo.jpg?width=1500&height=2000
7,poet-lab-ss26,public/images/previews/poet-lab-ss26-work-preview.webp,1500x2000,1050x1400,88,83.8,https://framerusercontent.com/images/af9pMPIw88BXiOtZ2db50kZs4e8.jpg?width=1500&height=2000
8,meyer-optik-goerlitz-2025,public/images/previews/meyer-optik-goerlitz-2025-work-preview.webp,1500x2000,1050x1400,88,133.9,https://framerusercontent.com/images/roG0p5J9fsLaNzrFBt8CewVoJa8.jpg?width=1500&height=2000
9,w1p-studios-ss26,public/images/previews/w1p-studios-ss26-work-preview.webp,1500x2000,1050x1400,86,141.5,https://framerusercontent.com/images/ikqdJwmZ0GXjvSLCVXsCbolhw0.jpg?width=1500&height=2000
10,vanessa-baernthol-ss26,public/images/previews/vanessa-baernthol-ss26-work-preview.webp,1500x2000,1050x1400,88,128.2,https://framerusercontent.com/images/jYEQtorTmcJRKiVyT1adUg4HYNM.jpg?width=1500&height=2000
11,emanuel-ungaro-ss26,public/images/previews/emanuel-ungaro-ss26-work-preview.webp,1500x2000,1050x1400,88,70.9,https://framerusercontent.com/images/JheUIrWy2XIW5B5UUKVk8zkDjLc.jpg?width=1500&height=2000
12,walter-van-beirendonck-ss26,public/images/previews/walter-van-beirendonck-ss26-work-preview.webp,1500x2000,1050x1400,88,147.3,https://framerusercontent.com/images/4iqoxbvIYEHpMfkePdFzFNqj0JA.jpg?width=1500&height=2000
13,about-you-x-urban-sports-club-2025,public/images/previews/about-you-x-urban-sports-club-2025-work-preview.webp,1500x2000,1050x1400,81,138.2,https://framerusercontent.com/images/7sMAEvwWLjmbMPxt6ybmhj702M.jpg?width=1500&height=2000
14,poet-lab-spring-love-2025,public/images/previews/poet-lab-spring-love-2025-work-preview.webp,1500x2000,1050x1400,78,149.3,https://framerusercontent.com/images/0K780Qzx7fcT0M0lD66jYJhHdfY.jpg?width=1500&height=2000
15,fabletics-2025,public/images/previews/fabletics-2025-work-preview.webp,1600x2000,1120x1400,88,140.7,https://framerusercontent.com/images/5WzfiJV8B6gNimdVzBX0a3HSQ.jpg?width=1600&height=2000
16,w1p-studios-x-timo-kurz-2025,public/images/previews/w1p-studios-x-timo-kurz-2025-work-preview.webp,1500x2000,1050x1400,88,65.3,https://framerusercontent.com/images/CB2vJtg0xHIhpc9D7iaCStVfFGo.jpg?width=1500&height=2000
17,footlocker-x-blockschmidt-2025,public/images/previews/footlocker-x-blockschmidt-2025-work-preview.webp,1500x2000,1050x1400,88,125.9,https://framerusercontent.com/images/xfhUWZODOctqyZ8yYegMFjVrRao.jpg?width=1500&height=2000
